id,book_id,author,title,average_rating,ratings_count,primary_genre,secondary_genre,tertiary_genre
41,28187,Rick Riordan,"The Lightning Thief (Percy Jackson and the Olympians, #1)",4.23,1366265,Fantasy,Young Adult,Fantasy
42,1934,Louisa May Alcott,"Little Women (Little Women, #1)",4.04,1257121,Classics,Fiction,Historical
43,10210,Charlotte Bronte,Jane Eyre,4.1,1198557,Classics,Fiction,Romance
44,15931,Nicholas Sparks,"The Notebook (The Notebook, #1)",4.06,1053403,Romance,Fiction,Womens Fiction
45,4214,Yann Martel,Life of Pi,3.88,1003228,Fiction,Fantasy,Classics
46,43641,Sara Gruen,Water for Elephants,4.07,1068146,Fiction,Historical,Historical Fiction
47,19063,Markus Zusak,The Book Thief,4.36,1159741,Historical,Historical Fiction,Fiction
48,4381,Ray Bradbury,Fahrenheit 451,3.97,570498,Nonfiction,Writing,Books About Books
49,49041,Stephenie Meyer,"New Moon (Twilight, #2)",3.52,1149630,Young Adult,Fantasy,Romance
50,30119,Shel Silverstein,Where the Sidewalk Ends,4.29,1016888,Poetry,Childrens,Classics
51,256683,Cassandra Clare,"City of Bones (The Mortal Instruments, #1)",4.12,1154031,Fantasy,Young Adult,Fantasy
52,428263,Stephenie Meyer,"Eclipse (Twilight, #3)",3.69,1134511,Young Adult,Teen,Young Adult
53,113436,Christopher Paolini,"Eragon (The Inheritance Cycle, #1)",3.86,1104021,Fantasy,Young Adult,Fiction
54,386162,Douglas Adams,"The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy, #1)",4.2,936782,Science Fiction,Fiction,Humor
55,5129,Aldous Huxley,Brave New World,3.97,1022601,Classics,Fiction,Science Fiction
56,1162543,Stephenie Meyer,"Breaking Dawn (Twilight, #4)",3.7,1070245,Young Adult,Fantasy,Romance
57,37435,Sue Monk Kidd,The Secret Life of Bees,4.01,916189,Fiction,Historical,Historical Fiction
58,2956,Mark Twain,The Adventures of Huckleberry Finn,3.8,953758,Classics,Fiction,Historical
59,24178,E.B. White,Charlotte's Web,4.15,1064521,Classics,Childrens,Fiction
60,1618,Mark Haddon,The Curious Incident of the Dog in the Night-Time,3.85,867553,Fiction,Mystery,Young Adult
61,22557272,Paula Hawkins,The Girl on the Train,3.88,1008778,Fiction,Mystery,Thriller
62,119322,Philip Pullman,"The Golden Compass (His Dark Materials, #1)",3.94,953970,Fantasy,Young Adult,Fiction
63,6185,Emily Brontë,Wuthering Heights,3.82,899195,Classics,Fiction,Romance
64,10917,Jodi Picoult,My Sister's Keeper,4.06,863879,Fiction,Contemporary,Womens Fiction
65,4981,Kurt Vonnegut Jr.,Slaughterhouse-Five,4.06,846488,Classics,Fiction,Science Fiction
66,18405,Margaret Mitchell,Gone with the Wind,4.28,873981,Classics,Historical,Historical Fiction
67,128029,Khaled Hosseini,A Thousand Splendid Suns,4.34,818742,Fiction,Historical,Historical Fiction
68,22628,Stephen Chbosky,The Perks of Being a Wallflower,4.21,888806,Young Adult,Fiction,Contemporary
69,11735983,Veronica Roth,"Insurgent (Divergent, #2)",4.07,836362,Young Adult,Science Fiction,Dystopia
70,375802,Orson Scott Card,"Ender's Game (Ender's Saga, #1)",4.3,813439,Science Fiction,Young Adult,Fantasy
71,18490,Mary Wollstonecraft Shelley,Frankenstein,3.75,808589,Classics,Fiction,Horror
72,11588,Stephen King,The Shining (The Shining #1),4.17,791850,Horror,Fiction,Thriller
73,1656001,Stephenie Meyer,"The Host (The Host, #1)",3.84,749780,Young Adult,Science Fiction,Fantasy
74,99561,John Green,Looking for Alaska,4.09,783470,Young Adult,Fiction,Contemporary
75,227443,Helen Fielding,"Bridget Jones's Diary (Bridget Jones, #1)",3.75,736498,Fiction,Womens Fiction,Chick Lit
76,14935,Jane Austen,Sense and Sensibility,4.06,738894,Classics,Fiction,Romance
77,38709,Louis Sachar,"Holes (Holes, #1)",3.93,747445,Young Adult,Fiction,Childrens
78,5139,Lauren Weisberger,"The Devil Wears Prada (The Devil Wears Prada, #1)",3.7,665930,Womens Fiction,Chick Lit,Fiction
79,1381,Homer,The Odyssey,3.73,670326,Classics,Fiction,Poetry
80,157993,Antoine de Saint-Exupéry,The Little Prince,4.28,738757,Classics,Fiction,Fantasy
81,7445,Jeannette Walls,The Glass Castle,4.24,621099,Nonfiction,Autobiography,Memoir
82,1845,Jon Krakauer,Into the Wild,3.94,647684,Nonfiction,Biography,Travel
83,1953,Charles Dickens,A Tale of Two Cities,3.81,637412,Classics,Fiction,Historical
84,6424171,Michael Crichton,"Jurassic Park (Jurassic Park, #1)",3.96,447833,Science Fiction,Fiction,Thriller
85,370493,Shel Silverstein,The Giving Tree,4.38,702332,Childrens,Classics,Childrens
86,32542,John Grisham,A Time to Kill,4.03,597775,Fiction,Mystery,Thriller
87,1617,Elie Wiesel,Night (The Night Trilogy #1),4.3,691231,Fiction,Mystery,Young Adult
88,6442769,John Green,Paper Towns,3.88,461311,Young Adult,Contemporary,Fiction
89,21787,William Goldman,The Princess Bride ,4.25,628637,Fantasy,Fiction,Classics
90,231804,S.E. Hinton,The Outsiders,4.06,659248,Classics,Young Adult,Fiction
91,6186357,James Dashner,"The Maze Runner (Maze Runner, #1)",4.02,719925,Young Adult,Science Fiction,Dystopia
92,1202,Steven D. Levitt,"Freakonomics: A Rogue Economist Explores the Hidden Side of Everything (Freakonomics, #1)",3.93,524191,Nonfiction,Economics,Business
93,2998,Frances Hodgson Burnett,The Secret Garden,4.12,639357,Classics,Fiction,Childrens
94,320,Gabriel García Márquez,One Hundred Years of Solitude,4.04,490565,Fiction,Classics,Magical Realism
95,5297,Oscar Wilde,The Picture of Dorian Gray,4.06,590014,Classics,Sequential Art,Graphic Novels
96,13536860,E.L. James,"Fifty Shades Freed (Fifty Shades, #3)",3.88,387290,Romance,Adult Fiction,Erotica
97,17245,Bram Stoker,Dracula,3.98,618973,Classics,Horror,Fiction
98,5060378,Stieg Larsson,"The Girl Who Played with Fire (Millennium, #2)",4.22,563994,Fiction,Mystery,Thriller
99,11857408,E.L. James,"Fifty Shades Darker (Fifty Shades, #2)",3.87,552059,Romance,Adult Fiction,Erotica
100,7244,Barbara Kingsolver,The Poisonwood Bible,4.02,546502,Fiction,Historical,Historical Fiction
101,4137,David Sedaris,Me Talk Pretty One Day,3.97,495736,Nonfiction,Humor,Autobiography
102,19543,Maurice Sendak,Where the Wild Things Are,4.22,620618,Childrens,Picture Books,Fiction
103,7126,Alexandre Dumas,The Count of Monte Cristo,4.21,555822,Classics,Fiction,Historical
104,6288,Cormac McCarthy,The Road,3.95,504793,Fiction,Science Fiction,Science Fiction
105,18710190,Veronica Roth,"Allegiant (Divergent, #3)",3.63,463257,Young Adult,Science Fiction,Dystopia
106,9418327,Tina Fey,Bossypants,3.94,506250,Nonfiction,Autobiography,Memoir
107,3473,Nicholas Sparks,A Walk to Remember,4.15,546948,Romance,Fiction,Womens Fiction
108,9416,Sophie Kinsella,"Confessions of a Shopaholic (Shopaholic, #1)",3.61,543658,Womens Fiction,Chick Lit,Fiction
109,24280,Victor Hugo,Les Misérables,4.14,513407,Classics,Fiction,Historical Fiction
110,10572,George R.R. Martin,"A Clash of Kings  (A Song of Ice and Fire, #2)",4.4,523303,Fantasy,Fiction,Fantasy
111,10441,Kim Edwards,The Memory Keeper's Daughter,3.64,501430,Fiction,Contemporary,Adult Fiction
112,15507958,Jojo Moyes,"Me Before You (Me Before You, #1)",4.27,587647,Romance,Fiction,Contemporary
113,168668,Joseph Heller,Catch-22,3.98,563265,Classics,Fiction,Historical
114,6900,Mitch Albom,Tuesdays with Morrie,4.06,556518,Nonfiction,Autobiography,Memoir
115,2187,Jeffrey Eugenides,Middlesex,3.98,488243,Fiction,Historical,Historical Fiction
116,24583,Mark Twain,The Adventures of Tom Sawyer,3.89,555359,Classics,Fiction,Adventure
117,18131,Madeleine L'Engle,"A Wrinkle in Time (A Wrinkle in Time Quintet, #1)",4.04,615907,Fantasy,Fiction,Classics
118,7763,Amy Tan,The Joy Luck Club,3.9,515090,Fiction,Historical,Historical Fiction
119,38447,Margaret Atwood,The Handmaid's Tale,4.06,607889,Fiction,Classics,Science Fiction
120,452306,Ann Brashares,"The Sisterhood of the Traveling Pants (Sisterhood, #1)",3.75,525706,Young Adult,Fiction,Womens Fiction
121,7604,Vladimir Nabokov,Lolita,3.88,469836,Classics,Fiction,Literature
122,37442,Gregory Maguire,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",3.52,506900,Fantasy,Fiction,Adult
123,5358,John Grisham,"The Firm (Penguin Readers, Level 5)",3.99,488269,Fiction,Thriller,Mystery
124,7937843,Emma Donoghue,Room,4.03,511360,Fiction,Contemporary,Adult
125,1420,William Shakespeare,Hamlet,4,515820,Classics,Plays,Fiction
126,234225,Frank Herbert,Dune (Dune Chronicles #1),4.19,485032,Science Fiction,Fiction,Fantasy
127,2612,Malcolm Gladwell,The Tipping Point: How Little Things Can Make a Big Difference,3.92,490504,Nonfiction,Business,Psychology
128,11084145,Walter Isaacson,Steve Jobs,4.09,560715,Biography,Nonfiction,Business
129,332613,Ken Kesey,One Flew Over the Cuckoo's Nest,4.18,491642,Classics,Fiction,Psychology
130,2165,Ernest Hemingway,The Old Man and the Sea,3.73,520630,Classics,Fiction,Literature
131,18114322,John Steinbeck,The Grapes of Wrath,3.92,322321,Classics,Fiction,Historical
132,3431,Mitch Albom,The Five People You Meet in Heaven,3.9,449501,Fiction,Inspirational,Contemporary
133,8127,L.M. Montgomery,"Anne of Green Gables (Anne of Green Gables, #1)",4.23,502247,Classics,Fiction,Young Adult
134,3777732,Cassandra Clare,"City of Glass (The Mortal Instruments, #3)",4.34,593173,Fantasy,Paranormal,Fantasy
135,62291,George R.R. Martin,"A Storm of Swords (A Song of Ice and Fire, #3)",4.54,469022,Fantasy,Fiction,Fantasy
136,137791,Rebecca Wells,Divine Secrets of the Ya-Ya Sisterhood,3.79,465676,Fiction,Womens Fiction,Chick Lit
137,10964,Diana Gabaldon,"Outlander (Outlander, #1)",4.2,515547,Historical,Historical Fiction,Romance
138,12296,Nathaniel Hawthorne,The Scarlet Letter,3.37,509883,Classics,Fiction,Historical
139,9460487,Ransom Riggs,"Miss Peregrine’s Home for Peculiar Children (Miss Peregrine’s Peculiar Children, #1)",3.89,613674,Fantasy,Young Adult,Fiction
140,6892870,Stieg Larsson,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",4.2,443951,Fiction,Mystery,Thriller
141,18007564,Andy Weir,The Martian,4.39,423344,Science Fiction,Fiction,Audiobook
142,5043,Ken Follett,"The Pillars of the Earth (The Kingsbridge Series, #1)",4.29,462517,Historical,Historical Fiction,Fiction
143,18143977,Anthony Doerr,All the Light We Cannot See,4.31,470001,Historical,Historical Fiction,Fiction
144,8664353,Laura Hillenbrand,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",4.4,487775,Nonfiction,History,Biography
145,976,Dan Brown,Deception Point,3.67,455610,Fiction,Thriller,Mystery
146,17333223,Donna Tartt,The Goldfinch,3.87,396756,Fiction,Contemporary,Literary Fiction
147,29844228,Jay Asher,Thirteen Reasons Why,4.02,463783,Young Adult,Contemporary,Fiction
148,2865,Tracy Chevalier,Girl with a Pearl Earring,3.85,467577,Historical,Historical Fiction,Fiction
149,4374400,Gayle Forman,"If I Stay (If I Stay, #1)",3.96,503527,Young Adult,Romance,Contemporary
150,4989,Anita Diamant,The Red Tent,4.16,424981,Historical,Historical Fiction,Fiction
151,28186,Rick Riordan,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",4.23,514932,Fantasy,Young Adult,Fantasy
152,5526,Nicholas Sparks,Dear John,4.01,441062,Romance,Fiction,Womens Fiction
153,1582996,Cassandra Clare,"City of Ashes (The Mortal Instruments, #2)",4.21,541117,Fantasy,Young Adult,Paranormal
154,8852,William Shakespeare,Macbeth,3.88,496018,Classics,Plays,Fiction
155,15241,J.R.R. Tolkien,"The Two Towers (The Lord of the Rings, #2)",4.42,480446,Fantasy,Fiction,Classics
156,42156,Emily Giffin,"Something Borrowed (Darcy & Rachel, #1)",3.83,403601,Womens Fiction,Chick Lit,Romance
157,23772,Dr. Seuss,Green Eggs and Ham,4.29,457475,Childrens,Picture Books,Classics
158,6310,Roald Dahl,"Charlie and the Chocolate Factory (Charlie Bucket, #1)",4.1,453959,Childrens,Fiction,Fantasy
159,2120932,Rick Riordan,"The Battle of the Labyrinth (Percy Jackson and the Olympians, #4)",4.39,508214,Fantasy,Young Adult,Fantasy
160,2623,Charles Dickens,Great Expectations,3.75,459247,Classics,Fiction,Literature
161,18512,J.R.R. Tolkien,"The Return of the King (The Lord of the Rings, #3)",4.51,463959,Fantasy,Fiction,Classics
162,49552,Albert Camus,The Stranger,3.96,420600,Classics,Fiction,Philosophy
163,7736182,Rick Riordan,"The Lost Hero (The Heroes of Olympus, #1)",4.35,271576,Fantasy,Young Adult,Fantasy
164,15745753,Rainbow Rowell,Eleanor & Park,4.11,514312,Young Adult,Romance,Contemporary
165,13497,George R.R. Martin,"A Feast for Crows (A Song of Ice and Fire, #4)",4.1,428186,Fantasy,Fiction,Fantasy
166,7735333,Ally Condie,"Matched (Matched, #1)",3.68,511815,Young Adult,Science Fiction,Dystopia
167,30165203,Neil Gaiman,"American Gods (American Gods, #1)",4.11,378019,Fantasy,Fiction,Fantasy
168,149267,Stephen King,The Stand,4.34,438832,Horror,Fiction,Fantasy
169,6400090,Nicholas Sparks,The Last Song,4.14,424637,Romance,Fiction,Young Adult
170,11125,Dan Brown,Digital Fortress,3.6,423019,Fiction,Thriller,Mystery
171,6969,Jane Austen,Emma,3.99,459826,Classics,Fiction,Romance
172,15823480,Leo Tolstoy,Anna Karenina,4.02,297472,Classics,Fiction,Romance
173,227463,Anthony Burgess,A Clockwork Orange,3.98,431195,Classics,Fiction,Science Fiction
174,1812457,William Paul Young,The Shack,3.74,419539,Fiction,Christian,Christian Fiction
175,4556058,Rick Riordan,"The Last Olympian (Percy Jackson and the Olympians, #5)",4.5,397500,Fantasy,Young Adult,Fantasy
176,830502,Stephen King,It,4.18,292592,Horror,Fiction,Thriller
177,7144,Fyodor Dostoyevsky,Crime and Punishment,4.18,380903,Classics,Fiction,Cultural
178,6514,Sylvia Plath,The Bell Jar,3.98,401605,Classics,Fiction,Feminism
179,252577,Frank McCourt,"Angela's Ashes (Frank McCourt, #1)",4.07,392103,Nonfiction,Autobiography,Memoir
180,52036,Hermann Hesse,Siddhartha,3.99,372099,Classics,Fiction,Philosophy
181,168642,Truman Capote,In Cold Blood,4.05,381652,Nonfiction,Classics,Crime
182,6304335,Kami Garcia,"Beautiful Creatures (Caster Chronicles, #1)",3.76,436093,Fantasy,Young Adult,Fantasy
183,7171637,Cassandra Clare,"Clockwork Angel (The Infernal Devices, #1)",4.33,490890,Fantasy,Young Adult,Romance
184,39988,Roald Dahl,Matilda,4.29,440743,Childrens,Fiction,Classics
185,9361589,Erin Morgenstern,The Night Circus,4.03,429543,Fantasy,Fiction,Romance
186,37470,Philippa Gregory,"The Other Boleyn Girl (The Plantagenet and Tudor Novels, #9)",4.04,381080,Historical,Historical Fiction,Fiction
187,24770,Scott Westerfeld,"Uglies (Uglies, #1)",3.86,449073,Romance,New Adult,Contemporary
188,10664113,George R.R. Martin,"A Dance with Dragons (A Song of Ice and Fire, #5)",4.31,365954,Fantasy,Fiction,Fantasy
189,33,J.R.R. Tolkien,"The Lord of the Rings (The Lord of the Rings, #1-3)",4.47,389054,Fantasy,Classics,Fiction
190,12262741,Cheryl Strayed,Wild: From Lost to Found on the Pacific Crest Trail,3.96,379872,Nonfiction,Memoir,Travel
191,472331,Alan Moore,Watchmen,4.35,398018,Graphic Novels,Comics,Fiction
192,186074,Patrick Rothfuss,"The Name of the Wind (The Kingkiller Chronicle, #1)",4.55,400101,Fantasy,Fiction,Fantasy
193,3228917,Malcolm Gladwell,Outliers: The Story of Success,4.11,353011,Nonfiction,Psychology,Business
194,153747,Herman Melville,"Moby-Dick or, The Whale",3.46,358050,Classics,Fiction,Literature
195,2728527,Mary Ann Shaffer,The Guernsey Literary and Potato Peel Pie Society,4.12,393626,Historical,Historical Fiction,Fiction
196,5759,Chuck Palahniuk,Fight Club,4.2,365349,Fiction,Classics,Contemporary
197,301082,Charlaine Harris,"Dead Until Dark (Sookie Stackhouse, #1)",3.96,420764,Fantasy,Paranormal,Vampires
198,11486,Alice Walker,The Color Purple,4.17,376766,Classics,Fiction,Historical
199,12691,John Grogan,Marley and Me: Life and Love With the World's Worst Dog,4.12,367304,Nonfiction,Autobiography,Memoir
200,16299,Agatha Christie,And Then There Were None,4.23,408983,Mystery,Classics,Fiction
201,6411961,Dan Brown,"The Lost Symbol (Robert Langdon, #3)",3.66,369428,Fiction,Mystery,Thriller
202,6339664,Becca Fitzpatrick,"Hush, Hush (Hush, Hush, #1)",4,448166,Young Adult,Fantasy,Romance
203,11505797,Jamie McGuire,"Beautiful Disaster (Beautiful, #1)",4.15,418309,Romance,New Adult,Contemporary
204,5326,Charles Dickens,A Christmas Carol,4.02,394540,Classics,Fiction,Holiday
205,43763,Anne Rice,"Interview with the Vampire (The Vampire Chronicles, #1)",3.97,372566,Horror,Fantasy,Fiction
206,10507293,Kiera Cass,"The Selection (The Selection, #1)",4.15,505340,Young Adult,Romance,Science Fiction
207,6853,Janet Evanovich,"One for the Money (Stephanie Plum, #1)",4.03,391007,Mystery,Fiction,Humor
208,6493208,Rebecca Skloot,The Immortal Life of Henrietta Lacks,4.04,377249,Nonfiction,Science,History
209,23807,Thomas Harris,"The Silence of the Lambs  (Hannibal Lecter, #2)",4.14,351107,Horror,Fiction,Thriller
210,345627,Richelle Mead,"Vampire Academy (Vampire Academy, #1)",4.14,248283,Young Adult,Fantasy,Paranormal
211,40102,Malcolm Gladwell,Blink: The Power of Thinking Without Thinking,3.89,348196,Nonfiction,Psychology,Business
212,6867,Ian McEwan,Atonement,3.88,347006,Fiction,Historical,Historical Fiction
213,485894,Franz Kafka,The Metamorphosis,3.78,364933,Classics,Fiction,Fantasy
214,561456,Rick Riordan,"The Titan's Curse (Percy Jackson and the Olympians, #3)",4.33,446668,Fantasy,Young Adult,Fantasy
215,9969571,Ernest Cline,Ready Player One,4.31,349423,Science Fiction,Fiction,Young Adult
216,3153910,Garth Stein,The Art of Racing in the Rain,4.19,327409,Fiction,Animals,Contemporary
217,21996,Erik Larson,"The Devil in the White City: Murder, Magic, and Madness at the Fair That Changed America",3.98,309385,Nonfiction,History,Crime
218,20448515,Sylvia Day,"Bared to You (Crossfire, #1)",4.19,222678,Romance,Adult Fiction,Erotica
219,11127,C.S. Lewis,"The Chronicles of Narnia (Chronicles of Narnia, #1-7)",4.24,376385,Fantasy,Classics,Fiction
220,3609760,Mark Cotta Vaz,Twilight: The Complete Illustrated Movie Companion,4.23,291411,Young Adult,Paranormal,Vampires
221,60748,Dave Pelzer,"A Child Called ""It"" (Dave Pelzer #1)",4.08,311543,Nonfiction,Autobiography,Memoir
222,7869,Robert Ludlum,"The Bourne Identity (Jason Bourne, #1)",3.98,327122,Fiction,Thriller,Mystery
223,249747,Eoin Colfer,"Artemis Fowl (Artemis Fowl, #1)",3.82,386923,Fantasy,Young Adult,Fiction
224,6487308,Lauren Kate,"Fallen (Fallen, #1)",3.74,395296,Young Adult,Fantasy,Romance
225,4406,John Steinbeck,East of Eden,4.35,320919,Classics,Fiction,Historical
226,5886881,Gillian Flynn,Dark Places,3.92,333452,Mystery,Fiction,Thriller
227,5359,John Grisham,The Client,3.97,320083,Fiction,Mystery,Thriller
228,228333,Emma McLaughlin,"The Nanny Diaries (Nanny, #1)",3.4,323762,Fiction,Womens Fiction,Chick Lit
229,24213,Lewis Carroll,Alice's Adventures in Wonderland & Through the Looking-Glass,4.06,340920,Classics,Fantasy,Fiction
230,2156,Jane Austen,Persuasion,4.13,365425,Classics,Fiction,Romance
231,556602,Tatiana de Rosnay,Sarah's Key,4.14,312444,Historical,Historical Fiction,Fiction
232,43615,Stephen King,"The Gunslinger (The Dark Tower, #1)",3.99,332494,Fantasy,Fiction,Horror
233,9712,Gabriel García Márquez,Love in the Time of Cholera,3.89,283806,Fiction,Classics,Historical
234,439288,Laurie Halse Anderson,Speak,4,360156,Young Adult,Fiction,Contemporary
235,17802724,Liane Moriarty,The Husband's Secret,3.92,232106,Fiction,Mystery,Womens Fiction
236,1898,Jon Krakauer,Into Thin Air: A Personal Account of the Mount Everest Disaster,4.11,291258,Nonfiction,Adventure,Autobiography
237,10592,Stephen King,Carrie,3.93,356814,Horror,Fiction,Thriller
238,242006,Augusten Burroughs,Running with Scissors,3.7,293878,Autobiography,Memoir,Nonfiction
239,8908,Max Brooks,World War Z: An Oral History of the Zombie War,4.01,312969,Horror,Fiction,Horror
240,17212231,Dan Brown,"Inferno (Robert Langdon, #4)",3.8,287533,Fiction,Thriller,Mystery
241,47281,Lois Lowry,Number the Stars,4.11,333638,Historical,Historical Fiction,Young Adult
242,13145,James Patterson,"Along Came a Spider (Alex Cross, #1)",4.08,311499,Mystery,Fiction,Thriller
243,10614,Stephen King,Misery,4.11,334647,Horror,Fiction,Thriller
244,18045891,Gillian Flynn,Sharp Objects,3.92,207889,Mystery,Fiction,Thriller
245,2839,Katherine Paterson,Bridge to Terabithia,3.98,337644,Fiction,Young Adult,Classics
246,30183,P.C. Cast,"Marked (House of Night, #1)",3.79,360044,Young Adult,Fantasy,Paranormal
247,36072,Stephen R. Covey,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,4.05,314700,Self Help,Nonfiction,Business
248,1622,William Shakespeare,A Midsummer Night's Dream,3.94,334241,Classics,Plays,Fiction
249,4588,Jonathan Safran Foer,Extremely Loud and Incredibly Close,3.97,294726,Fiction,Contemporary,Historical
250,11387515,R.J. Palacio,Wonder,4.43,228538,Young Adult,Fiction,Childrens
251,233093,Dr. Seuss,The Cat in the Hat,4.15,314016,Childrens,Childrens,Picture Books
252,11235712,Marissa Meyer,"Cinder (The Lunar Chronicles, #1)",4.15,427663,Young Adult,Fantasy,Science Fiction
253,16160797,Robert Galbraith,"The Cuckoo's Calling (Cormoran Strike, #1)",3.83,297712,Mystery,Fiction,Mystery
254,6068551,Maggie Stiefvater,"Shiver (The Wolves of Mercy Falls, #1)",3.78,356625,Young Adult,Fantasy,Romance
255,662,Ayn Rand,Atlas Shrugged,3.68,283295,Fiction,Classics,Philosophy
256,49436,Greg Mortenson,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,3.64,283516,Nonfiction,Autobiography,Memoir
257,13023,Jane Carruth,Alice in Wonderland,4.03,343252,Classics,Fantasy,Fiction
258,1232,Carlos Ruiz Zafón,"The Shadow of the Wind (The Cemetery of Forgotten Books,  #1)",4.24,263685,Fiction,Historical,Historical Fiction
259,7631105,James Dashner,"The Scorch Trials (Maze Runner, #2)",3.93,305643,Young Adult,Science Fiction,Dystopia
260,4865,Dale Carnegie,How to Win Friends and Influence People,4.13,282623,Nonfiction,Self Help,Business
261,480479,Frances Mayes,Under the Tuscan Sun,3.72,279264,Travel,Nonfiction,Autobiography
262,19486412,Liane Moriarty,Big Little Lies,4.2,306186,Fiction,Mystery,Contemporary
263,24337,Gail Carson Levine,Ella Enchanted,3.97,339117,Fantasy,Young Adult,Fiction
264,3876,Ernest Hemingway,The Sun Also Rises,3.83,284988,Classics,Fiction,Literature
